word,ipa,x1,x2,x3,x4,x5,x6,x7_hz,x7_norm,x8,x9_re,x9_norm,x10,x11,x11_ord,x12,L,a,b,x13_accent,x13_status,x14_contour,x15_meter,x16_regularity,tau,morph_type,d_source,generated,ud_atype,ud_kana,ud_mora,accent_class,accent_default,accent_variant,accent_src
いちゃいちゃ,itɕaitɕa,3,4,4,5,6,8,450.0,3.81,4,1500.0,4.6,6,hh,7,#FFC0CB,83.6,24.1,3.3,4,prior_pending_realaudio,5.03,8.41,3.0,0.45,REDUP(畳語・同一),measured,False,1,イチャイチャ,4,atamadaka_頭高,front,false,whole
いひひ,içiçi,2,6,6,7,8,4,750.0,5.1,5,2000.0,5.09,4,mc,3,#ADFF2F,92.0,-52.5,81.9,3,prior_pending_realaudio,5.91,7.32,3.65,0.36,OTHER(単発),measured,False,3,イヒヒ,3,nakadaka/odaka_核3,back,true,whole
いらいら,iɾaiɾa,6,7,6,8,5,2,380.0,3.38,3,5000.0,6.65,5,h,6,#FF4500,57.6,67.8,69.0,4,prior_pending_realaudio,5.14,8.14,4.08,0.404,REDUP(畳語・同一),measured,False,0,イライラ,4,heiban_平板,flat,false,whole
うおーっ,uoːʔ,8,4,9,4,4,5,120.0,0.46,8,12000.0,8.13,9,h,6,#FF0000,53.2,80.1,67.2,5,prior_pending_realaudio,9.0,4.48,8,0.476,COMPOUND(複合・異種),measured,False,2,ウオーッ,4,nakadaka/odaka_核2,back,true,whole
うおーん,uoːŋ,7,2,4,2,5,6,110.0,0.24,1,800.0,3.53,3,mh,5,#4682B4,52.5,-4.1,-32.2,5,prior_pending_realaudio,5.13,7.78,4.66,0.312,COMPOUND(複合・異種),measured,False,2,ウオーン,4,nakadaka/odaka_核2,back,true,whole
うかうか,ukauka,1,5,2,1,9,2,400.0,3.51,3,1000.0,3.91,1,0,4,#F5F5F5,96.5,-0.0,0.0,4,prior_pending_realaudio,4.92,7.82,7.6,0.454,REDUP(畳語・同一),measured,False,1,ウカウカ,4,atamadaka_頭高,front,false,whole
うきうき,ukiuki,2,7,6,0,8,3,550.0,4.32,5,2500.0,5.47,2,h,6,#FFFFE0,99.3,-5.1,14.8,4,prior_pending_realaudio,5.16,8.46,2.98,0.449,REDUP(畳語・同一),measured,False,1,ウキウキ,4,atamadaka_頭高,front,false,whole
うじうじ,udʑiudʑi,5,2,1,9,4,7,180.0,1.49,2,400.0,2.35,6,c,2,#556B2F,42.2,-18.8,30.6,4,prior_pending_realaudio,5.04,8.3,2.66,0.43,REDUP(畳語・同一),measured,False,1,ウジウジ,4,atamadaka_頭高,front,false,whole
うじゃうじゃ,udʑaudʑa,6,3,3,7,5,8,220.0,2.0,3,1800.0,4.91,8,mc,3,#8B4513,37.5,26.4,41.0,4,prior_pending_realaudio,5.17,8.66,3.13,0.404,REDUP(畳語・同一),measured,False,1,ウジャウジャ,4,atamadaka_頭高,front,false,whole
うずうず,uzuuzu,5,6,7,9,3,4,250.0,2.32,4,3000.0,5.78,7,h,6,#DAA520,70.8,8.5,68.8,4,prior_pending_realaudio,5.06,8.36,3.49,0.422,REDUP(畳語・同一),measured,False,1,ウズウズ,4,atamadaka_頭高,front,false,whole
うっ,uʔ,7,9,9,9,1,1,300.0,2.78,9,10000.0,7.82,9,0,4,#000000,0.0,0.0,0.0,2,prior_pending_realaudio,9.0,3.32,0,0.343,Q(促音単発),measured,False,0,ウッ,2,heiban_平板,flat,false,whole
うっかり,ukkaɾi,3,8,5,6,4,2,480.0,3.97,7,3500.0,6.04,5,0,4,#FFFFFF,100.0,-0.0,0.0,5,prior_pending_realaudio,5.59,7.39,2.18,0.354,COMPOUND(複合・異種),measured,False,3,ウッカリ,4,nakadaka/odaka_核3,back,true,whole
うっすら,ussuɾa,2,3,2,4,8,3,420.0,3.63,3,900.0,3.73,2,c,2,#E6E6FA,91.8,3.7,-9.7,5,prior_pending_realaudio,5.4,7.77,3.55,0.364,COMPOUND(複合・異種),measured,False,3,ウッスラ,4,nakadaka/odaka_核3,back,true,whole
うっとり,uttoɾi,3,2,4,0,6,6,350.0,3.17,4,800.0,3.53,4,hh,7,#DDA0DD,73.4,32.5,-22.0,5,prior_pending_realaudio,5.68,7.85,3.59,0.367,COMPOUND(複合・異種),measured,False,3,ウットリ,4,nakadaka/odaka_核3,back,true,whole
うつらうつら,utsuɾautsuɾa,2,2,2,5,7,5,280.0,2.61,4,600.0,3.04,3,mc,3,#B0C4DE,78.5,-1.3,-15.2,4,prior_pending_realaudio,4.98,8.73,3.81,0.46,REDUP(畳語・同一),measured,False,4,ウツラウツラ,6,nakadaka/odaka_核4,back,true,whole
うとうと,utouto,2,2,1,6,6,4,250.0,2.32,5,400.0,2.35,2,mc,3,#778899,55.9,-2.2,-11.1,4,prior_pending_realaudio,5.03,8.96,2.73,0.452,REDUP(畳語・同一),measured,False,1,ウトウト,4,atamadaka_頭高,front,false,whole
うねうね,uneune,4,3,1,4,8,7,200.0,1.75,1,700.0,3.31,5,mc,3,#556B2F,42.2,-18.8,30.6,4,prior_pending_realaudio,5.06,8.15,3.14,0.409,REDUP(畳語・同一),measured,False,1,ウネウネ,4,atamadaka_頭高,front,false,whole
うはうは,uhauha,3,6,5,0,9,5,450.0,3.81,3,2200.0,5.25,3,hh,7,#FFD700,86.9,-1.9,87.1,4,prior_pending_realaudio,5.14,8.35,4.08,0.427,REDUP(畳語・同一),measured,False,0,ウハウハ,4,heiban_平板,flat,false,whole
うふふ,uɸuɸu,2,4,3,7,8,6,380.0,3.38,4,1200.0,4.22,4,mh,5,#FFF0F5,96.1,5.9,-0.6,3,prior_pending_realaudio,5.87,7.52,3.36,0.353,OTHER(単発),measured,False,3,ウフフ,3,nakadaka/odaka_核3,back,true,whole
うようよ,ujoujo,5,3,2,6,6,8,180.0,1.49,2,1500.0,4.6,8,mc,3,#6B8E23,54.7,-28.2,49.7,4,prior_pending_realaudio,5.08,8.3,3.65,0.394,REDUP(畳語・同一),measured,False,1,ウヨウヨ,4,atamadaka_頭高,front,false,whole
うらうら,uɾauɾa,1,2,1,2,8,4,320.0,2.94,1,500.0,2.73,1,hh,7,#FFFACD,97.6,-5.4,22.2,4,prior_pending_realaudio,5.05,8.26,3.05,0.425,REDUP(畳語・同一),measured,False,1,ウラウラ,4,atamadaka_頭高,front,false,whole
うろうろ,uɾouɾo,4,4,2,4,7,4,280.0,2.61,3,900.0,3.73,4,0,4,#A9A9A9,69.2,-0.0,0.0,4,prior_pending_realaudio,5.03,8.31,3.27,0.434,REDUP(畳語・同一),measured,False,1,ウロウロ,4,atamadaka_頭高,front,false,whole
うろちょろ,uɾotɕoɾo,3,7,6,5,6,3,480.0,3.97,5,2800.0,5.66,5,mc,3,#9ACD32,76.5,-38.0,66.6,5,prior_pending_realaudio,5.89,7.62,3.4,0.353,COMPOUND(複合・異種),measured,False,1,ウロチョロ,4,atamadaka_頭高,front,false,whole
うわーん,uwaːŋ,7,4,6,3,5,8,400.0,3.51,1,1500.0,4.6,5,h,6,#1E90FF,59.4,10.0,-63.4,5,prior_pending_realaudio,5.4,7.68,5.81,0.299,COMPOUND(複合・異種),measured,False,2,ウワー,3,nakadaka/odaka_核2,back,true,firsttoken
うん,uŋ,4,5,7,6,3,5,150.0,1.03,5,400.0,2.35,6,mc,3,#808080,53.6,-0.0,0.0,3,prior_pending_realaudio,5.5,7.23,2.06,0.333,N(撥音単発),measured,False,1,ウン,2,atamadaka_頭高,front,false,whole
うんうん,uŋuŋ,3,4,4,5,4,6,160.0,1.19,4,300.0,1.87,5,mh,5,#A52A2A,37.5,49.7,30.5,4,prior_pending_realaudio,5.05,8.51,2.91,0.444,REDUP(畳語・同一),measured,False,1,ウン,2,atamadaka_頭高,front,false,firsttoken
うんざり,uŋzaɾi,7,3,4,8,4,6,220.0,2.0,6,800.0,3.53,7,c,2,#483D8B,30.8,26.1,-42.1,5,prior_pending_realaudio,6.15,7.47,2.89,0.353,COMPOUND(複合・異種),measured,False,3,ウンザリ,4,nakadaka/odaka_核3,back,true,whole
うーん,uːŋ,5,1,2,7,3,6,140.0,0.85,0,200.0,1.18,8,mc,3,#696969,44.4,-0.0,0.0,3,prior_pending_realaudio,5.16,7.37,3.9,0.304,LONG+N(長音+ん),measured,False,0,ウーン,3,heiban_平板,flat,false,whole
えごえご,eɡoeɡo,6,4,3,6,5,7,180.0,1.49,4,1100.0,4.07,6,c,2,#4B0082,20.5,51.7,-53.3,4,prior_pending_realaudio,5.01,8.31,2.99,0.446,REDUP(畳語・同一),measured,False,0,エ,1,heiban_平板,flat,false,firsttoken
えっさえっさ,essaessa,5,8,8,3,6,4,400.0,3.51,6,5000.0,6.65,4,h,6,#FF8C00,69.5,36.8,75.5,4,prior_pending_realaudio,4.47,7.46,5.06,0.414,REDUP(畳語・同一),measured,False,1,エッ,2,atamadaka_頭高,front,false,firsttoken
えっさっさ,essassa,4,9,9,4,5,3,450.0,3.81,8,6000.0,6.95,5,h,6,#FF4500,57.6,67.8,69.0,2,prior_pending_realaudio,8.48,4.91,9.0,0.293,Q(促音単発),measured,False,1,エッ,2,atamadaka_頭高,front,false,firsttoken
えっちらおっちら,ettɕiɾaottɕiɾa,6,5,3,5,5,5,300.0,2.78,4,900.0,3.73,6,mh,5,#CD853F,61.8,21.4,47.9,2,prior_pending_realaudio,5.69,7.57,3.36,0.337,Q(促音単発),measured,False,1,エッチラオッチラ,8,atamadaka_頭高,front,false,whole
えへへ,ehehe,2,5,3,4,9,5,420.0,3.63,3,1200.0,4.22,2,h,6,#F0E68C,90.3,-9.0,45.0,3,prior_pending_realaudio,5.55,7.9,3.0,0.342,OTHER(単発),measured,False,3,エヘヘ,3,nakadaka/odaka_核3,back,true,whole
えへん,eheŋ,5,6,7,7,4,4,200.0,1.75,6,1800.0,4.91,7,mc,3,#8B0000,28.1,51.0,41.3,3,prior_pending_realaudio,6.01,7.16,3.78,0.33,N(撥音単発),measured,False,2,エヘン,3,nakadaka/odaka_核2,back,true,whole
おいおい,oioi,4,4,4,3,6,7,280.0,2.61,4,700.0,3.31,4,mc,3,#4682B4,52.5,-4.1,-32.2,4,prior_pending_realaudio,5.05,8.6,3.27,0.446,REDUP(畳語・同一),measured,False,1,オイ,2,atamadaka_頭高,front,false,firsttoken
おずおず,ozuozu,4,3,1,9,3,5,200.0,1.75,5,400.0,2.35,5,c,2,#708090,52.8,-2.1,-10.6,4,prior_pending_realaudio,5.02,8.69,3.31,0.454,REDUP(畳語・同一),measured,False,1,オズオズ,4,atamadaka_頭高,front,false,whole
おたおた,otaota,4,7,3,6,6,3,380.0,3.38,6,1500.0,4.6,4,mc,3,#BDB76B,73.4,-8.8,39.3,4,prior_pending_realaudio,5.26,8.27,2.85,0.421,REDUP(畳語・同一),measured,False,1,オタオタ,4,atamadaka_頭高,front,false,whole
おちおち,otɕiotɕi,3,4,4,7,6,6,400.0,3.51,5,1200.0,4.22,5,mc,3,#708090,52.8,-2.1,-10.6,4,prior_pending_realaudio,4.98,8.58,3.76,0.451,REDUP(畳語・同一),measured,False,1,オチオチ,4,atamadaka_頭高,front,false,whole
おっとり,ottoɾi,2,1,2,0,7,6,300.0,2.78,4,600.0,3.04,3,mh,5,#FFB6C1,81.1,28.0,5.0,5,prior_pending_realaudio,5.39,8.03,2.66,0.391,COMPOUND(複合・異種),measured,False,3,オットリ,4,nakadaka/odaka_核3,back,true,whole
おどおど,odoodo,6,4,2,9,4,5,180.0,1.49,5,400.0,2.35,6,c,2,#556B2F,42.2,-18.8,30.6,4,prior_pending_realaudio,5.05,8.48,2.82,0.45,REDUP(畳語・同一),measured,False,1,オドオド,4,atamadaka_頭高,front,false,whole
おほほ,ohoho,3,5,8,4,9,4,350.0,3.17,3,1500.0,4.6,3,h,6,#EE82EE,69.7,56.4,-36.8,3,prior_pending_realaudio,5.99,7.9,2.08,0.329,OTHER(単発),measured,False,3,オホホ,3,nakadaka/odaka_核3,back,true,whole
おぼおぼ,oboobo,6,3,2,6,5,8,160.0,1.19,4,800.0,3.53,7,mc,3,#4169E1,47.8,26.3,-65.3,4,prior_pending_realaudio,5.04,8.62,3.16,0.45,REDUP(畳語・同一),measured,False,1,オ,1,atamadaka_頭高,front,false,firsttoken
おめおめ,omeome,5,2,2,5,4,7,240.0,2.22,2,300.0,1.87,5,mc,3,#800000,25.5,48.0,38.1,4,prior_pending_realaudio,5.03,8.36,3.11,0.43,REDUP(畳語・同一),measured,False,1,オメオメ,4,atamadaka_頭高,front,false,whole
おろおろ,oɾooɾo,5,6,3,5,7,5,260.0,2.42,4,1000.0,3.91,4,c,2,#A9A9A9,69.2,-0.0,0.0,4,prior_pending_realaudio,5.1,8.48,3.56,0.425,REDUP(畳語・同一),measured,False,1,オロオロ,4,atamadaka_頭高,front,false,whole
かあかあ,kaakaa,5,4,7,2,6,2,650.0,4.74,3,4500.0,6.47,4,h,6,#000000,0.0,0.0,0.0,4,prior_pending_realaudio,5.01,8.31,3.37,0.432,REDUP(畳語・同一),measured,False,1,カアカア,4,atamadaka_頭高,front,false,whole
かさかさ,kasakasa,1,7,4,3,8,0,1200.0,6.29,6,9000.0,7.64,2,0,4,#D2B48C,75.0,5.0,24.4,4,prior_pending_realaudio,4.9,7.93,3.73,0.518,REDUP(畳語・同一),measured,False,1,カサカサ,4,atamadaka_頭高,front,false,whole
かさこそ,kasakoso,1,6,3,4,8,1,900.0,5.56,5,6000.0,6.95,3,mc,3,#8B4513,37.5,26.4,41.0,5,prior_pending_realaudio,5.61,7.32,2.81,0.422,COMPOUND(複合・異種),measured,False,1,カサコソ,4,atamadaka_頭高,front,false,whole
かすかす,kasukasu,1,3,2,5,9,0,1500.0,6.86,4,10000.0,7.82,1,c,2,#F5F5F5,96.5,-0.0,0.0,4,prior_pending_realaudio,5.04,8.44,4.66,0.473,REDUP(畳語・同一),measured,False,0,カスカス,4,heiban_平板,flat,false,whole
かたかた,katakata,3,8,7,7,1,2,500.0,4.07,7,7000.0,7.22,8,c,2,#808080,53.6,-0.0,0.0,4,prior_pending_realaudio,5.03,7.18,7.27,0.452,REDUP(畳語・同一),measured,False,1,カタカタ,4,atamadaka_頭高,front,false,whole
かたり,kataɾi,4,7,8,5,2,3,450.0,3.81,6,5000.0,6.65,7,mc,3,#A0522D,43.8,29.3,35.6,4,prior_pending_realaudio,6.29,7.07,3.15,0.351,RI(り単発),measured,False,0,カタリ,3,heiban_平板,flat,false,whole
かたん,kataŋ,5,8,9,6,2,4,300.0,2.78,7,3000.0,5.78,9,mc,3,#2F4F4F,31.3,-11.7,-3.7,3,prior_pending_realaudio,4.67,3.6,0,0.329,N(撥音単発),measured,False,2,カタン,3,nakadaka/odaka_核2,back,true,whole
かちかち,katɕikatɕi,4,8,8,8,0,1,1800.0,7.32,8,12000.0,8.13,9,c,2,#C0C0C0,77.7,-0.0,0.0,4,prior_pending_realaudio,3.56,3.89,0.02,0.455,REDUP(畳語・同一),measured,False,0,カチカチ,4,heiban_平板,flat,false,whole
かちっ,katɕiʔ,4,9,9,9,0,1,2000.0,7.58,9,15000.0,8.51,9,0,4,#FFFFFF,100.0,-0.0,0.0,2,prior_pending_realaudio,9.0,3.32,0,0.302,Q(促音単発),measured,False,2,カチッ,3,nakadaka/odaka_核2,back,true,whole
かちゃかちゃ,katɕakatɕa,3,8,6,5,1,2,2500.0,8.15,7,13000.0,8.27,7,c,2,#D3D3D3,84.6,-0.0,0.0,4,prior_pending_realaudio,5.17,5.89,6.06,0.442,REDUP(畳語・同一),measured,False,1,カチャカチャ,4,atamadaka_頭高,front,false,whole
かちん,katɕiŋ,6,8,9,9,0,2,1600.0,7.02,8,9000.0,7.64,9,c,2,#4682B4,52.5,-4.1,-32.2,3,prior_pending_realaudio,7.94,6.7,4.18,0.306,N(撥音単発),measured,False,2,カチン,3,nakadaka/odaka_核2,back,true,whole
かちんかちん,katɕiŋkatɕiŋ,7,8,8,9,0,1,1500.0,6.86,8,8000.0,7.44,9,cc,1,#E0FFFF,97.9,-9.9,-3.4,4,prior_pending_realaudio,4.41,4.58,7.3,0.432,REDUP(畳語・同一),measured,False,0,カチンカチン,6,heiban_平板,flat,false,whole
かっ,kaʔ,7,9,9,8,3,1,800.0,5.26,9,18000.0,8.82,9,hh,7,#FF0000,53.2,80.1,67.2,2,prior_pending_realaudio,9.0,3.32,0,0.383,Q(促音単発),measured,False,1,カッ,2,atamadaka_頭高,front,false,whole
かっきり,kakkiɾi,4,8,9,7,2,2,700.0,4.93,8,6000.0,6.95,8,0,4,#000000,0.0,0.0,0.0,5,prior_pending_realaudio,9.0,3.91,8,0.303,COMPOUND(複合・異種),measured,False,3,カッキリ,4,nakadaka/odaka_核3,back,true,whole
かっちり,kattɕiɾi,5,8,9,8,1,3,650.0,4.74,7,5000.0,6.65,9,0,4,#708090,52.8,-2.1,-10.6,5,prior_pending_realaudio,6.83,6.99,3.09,0.337,COMPOUND(複合・異種),measured,False,3,カッチリ,4,nakadaka/odaka_核3,back,true,whole
かっちんかっちん,kattɕiŋkattɕiŋ,8,8,8,9,0,1,1400.0,6.68,8,7000.0,7.22,9,cc,1,#AFEEEE,90.1,-19.6,-6.4,4,prior_pending_realaudio,3.32,3.89,0.01,0.44,REDUP(畳語・同一),measured,False,0,カッチンカッチン,8,heiban_平板,flat,false,whole
かつかつ,katsukatsu,5,7,7,6,2,1,600.0,4.54,7,4000.0,6.27,7,mc,3,#696969,44.4,-0.0,0.0,4,prior_pending_realaudio,5.34,8.13,4.11,0.44,REDUP(畳語・同一),measured,False,0,カツカツ,4,heiban_平板,flat,false,whole
からから,kaɾakaɾa,3,6,4,3,7,0,550.0,4.32,5,3500.0,6.04,3,0,4,#F4A460,74.0,23.0,46.8,4,prior_pending_realaudio,5.14,8.17,3.79,0.458,REDUP(畳語・同一),measured,False,1,カラカラ,4,atamadaka_頭高,front,false,whole
からころ,kaɾakoɾo,4,6,5,4,4,1,400.0,3.51,5,3000.0,5.78,4,mc,3,#8B4513,37.5,26.4,41.0,5,prior_pending_realaudio,6.89,7.01,4.8,0.343,COMPOUND(複合・異種),measured,False,1,カラ,2,atamadaka_頭高,front,false,firsttoken
からっと,kaɾatto,2,8,7,4,8,0,700.0,4.93,8,8000.0,7.44,6,h,6,#87CEEB,79.2,-14.8,-21.3,5,prior_pending_realaudio,6.49,5.53,1.96,0.345,COMPOUND(複合・異種),measured,False,2,カラッ,3,nakadaka/odaka_核2,back,true,firsttoken
からり,kaɾaɾi,2,5,5,2,9,1,600.0,4.54,5,2500.0,5.47,4,h,6,#FFFFFF,100.0,-0.0,0.0,4,prior_pending_realaudio,5.39,7.57,4.02,0.416,RI(り単発),measured,False,2,カラリ,3,nakadaka/odaka_核2,back,true,whole
からんからん,kaɾaŋkaɾaŋ,4,5,6,3,3,2,450.0,3.81,4,2800.0,5.66,6,mc,3,#B8860B,59.2,9.9,62.7,4,prior_pending_realaudio,5.17,8.65,2.33,0.429,REDUP(畳語・同一),measured,False,2,カランカラン,6,nakadaka/odaka_核2,back,true,whole
かりかり,kaɾikaɾi,3,8,6,7,2,0,1500.0,6.86,8,11000.0,7.98,5,c,2,#CD853F,61.8,21.4,47.9,4,prior_pending_realaudio,7.31,4.58,1.09,0.465,REDUP(畳語・同一),measured,False,0,カリカリ,4,heiban_平板,flat,false,whole
かんかん,kaŋkaŋ,6,7,9,6,1,2,900.0,5.56,5,6500.0,7.09,8,hhh,8,#FF4500,57.6,67.8,69.0,4,prior_pending_realaudio,5.24,8.17,4.51,0.422,REDUP(畳語・同一),measured,False,1,カンカン,4,atamadaka_頭高,front,false,whole
かーかー,kaːkaː,5,4,6,2,6,2,600.0,4.54,1,4000.0,6.27,3,h,6,#000000,0.0,0.0,0.0,4,prior_pending_realaudio,5.08,8.05,3.39,0.393,REDUP(畳語・同一),measured,False,,カア,2,unknown,front,false,unk
かーん,kaːŋ,4,3,9,2,2,3,1200.0,6.29,2,5000.0,6.65,9,h,6,#FFD700,86.9,-1.9,87.1,3,prior_pending_realaudio,5.29,7.54,4.27,0.356,LONG+N(長音+ん),measured,False,0,カーン,3,heiban_平板,flat,false,whole
かーんかーん,kaːŋkaːŋ,5,4,9,3,2,3,1100.0,6.07,2,5500.0,6.81,9,h,6,#DAA520,70.8,8.5,68.8,4,prior_pending_realaudio,5.05,7.95,3.33,0.419,REDUP(畳語・同一),measured,False,0,カーン,3,heiban_平板,flat,false,firsttoken
がくがく,ɡakuɡaku,7,7,4,8,3,4,180.0,1.49,7,4500.0,6.47,6,c,2,#A9A9A9,69.2,-0.0,0.0,4,prior_pending_realaudio,5.07,7.75,6.38,0.422,REDUP(畳語・同一),measured,False,1,ガクガク,4,atamadaka_頭高,front,false,whole
がくん,ɡakuŋ,8,9,8,9,3,3,140.0,0.85,9,7000.0,7.22,8,mc,3,#000000,0.0,0.0,0.0,3,prior_pending_realaudio,9.0,2.61,0,0.304,N(撥音単発),measured,False,2,ガクン,3,nakadaka/odaka_核2,back,true,whole
がさがさ,ɡasaɡasa,5,7,4,4,6,0,400.0,3.51,6,8000.0,7.44,5,0,4,#8B4513,37.5,26.4,41.0,4,prior_pending_realaudio,5.2,7.93,4.05,0.442,REDUP(畳語・同一),measured,False,0,ガサガサ,4,heiban_平板,flat,false,whole
がさっ,ɡasaʔ,6,9,8,8,5,1,450.0,3.81,9,10000.0,7.82,8,0,4,#556B2F,42.2,-18.8,30.6,2,prior_pending_realaudio,9.0,3.32,0,0.296,Q(促音単発),measured,False,2,ガサッ,3,nakadaka/odaka_核2,back,true,whole
がしっ,ɡaɕiʔ,8,9,9,9,2,2,500.0,4.07,9,12000.0,8.13,9,mc,3,#4682B4,52.5,-4.1,-32.2,2,prior_pending_realaudio,9.0,3.32,0,0.353,Q(促音単発),measured,False,2,ガシッ,3,nakadaka/odaka_核2,back,true,whole
がしゃがしゃ,ɡaɕaɡaɕa,6,8,5,6,3,2,1200.0,6.29,7,14000.0,8.39,8,c,2,#708090,52.8,-2.1,-10.6,4,prior_pending_realaudio,5.16,7.68,4.6,0.44,REDUP(畳語・同一),measured,False,0,ガシャガシャ,4,heiban_平板,flat,false,whole
がしゃっ,ɡaɕaʔ,7,9,8,9,2,2,1000.0,5.83,9,16000.0,8.62,9,c,2,#778899,55.9,-2.2,-11.1,2,prior_pending_realaudio,9.0,3.32,0,0.327,Q(促音単発),measured,False,2,ガシャッ,3,nakadaka/odaka_核2,back,true,whole
がたがた,ɡataɡata,7,8,6,7,2,3,220.0,2.0,7,5000.0,6.65,7,c,2,#696969,44.4,-0.0,0.0,4,prior_pending_realaudio,5.47,8.11,4.1,0.416,REDUP(畳語・同一),measured,False,0,ガタガタ,4,heiban_平板,flat,false,whole
がたっと,ɡatatto,8,9,8,8,2,3,200.0,1.75,9,8000.0,7.44,8,mc,3,#000000,0.0,0.0,0.0,5,prior_pending_realaudio,9.0,3.15,8,0.338,COMPOUND(複合・異種),measured,False,2,ガタッ,3,nakadaka/odaka_核2,back,true,firsttoken
がたぴし,ɡatapiɕi,5,6,5,7,4,2,600.0,4.54,6,6000.0,6.95,6,mc,3,#8B4513,37.5,26.4,41.0,5,prior_pending_realaudio,6.25,7.71,2.62,0.341,COMPOUND(複合・異種),measured,False,1,ガタピシ,4,atamadaka_頭高,front,false,whole
がたり,ɡataɾi,6,7,7,6,3,4,250.0,2.32,6,4000.0,6.27,6,mc,3,#556B2F,42.2,-18.8,30.6,4,prior_pending_realaudio,6.21,7.07,3.07,0.331,RI(り単発),measured,False,0,ガタリ,3,heiban_平板,flat,false,whole
がたん,ɡataŋ,8,8,9,8,2,5,180.0,1.49,7,3500.0,6.04,9,mc,3,#2F4F4F,31.3,-11.7,-3.7,3,prior_pending_realaudio,6.5,6.84,4.11,0.317,N(撥音単発),measured,False,2,ガタン,3,nakadaka/odaka_核2,back,true,whole
がちがち,ɡatɕiɡatɕi,8,8,9,9,0,1,1200.0,6.29,9,10000.0,7.82,9,cc,1,#B0E0E6,86.1,-14.1,-8.0,4,prior_pending_realaudio,4.1,4.0,0.0,0.469,REDUP(畳語・同一),measured,False,0,ガチガチ,4,heiban_平板,flat,false,whole
